,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID,Early OPS,OPS Diff
39,Brandon Belt,35,123,Maj-AL,Toronto,103,404,339,53,86,23,0,19,43,61,1,141,2,0,2,5,0,0,0.254,0.369,0.49,0.859,474832,0.756,0.10299999999999998
192,Danny Jansen,28,153,Maj-AL,Toronto,86,301,268,38,61,15,0,17,53,23,1,62,10,0,0,3,0,0,0.228,0.312,0.474,0.786,643376,0.686,0.09999999999999998
411,Kyle Tucker,26,123,Maj-AL,Houston,157,674,574,97,163,37,5,29,112,80,9,92,3,0,10,11,30,5,0.284,0.369,0.517,0.886,663656,0.786,0.09999999999999998
145,Joey Gallo,29,149,Maj-AL,Minnesota,111,332,282,39,50,9,1,21,40,48,1,142,2,0,0,3,1,1,0.177,0.301,0.44,0.741,608336,0.841,0.09999999999999998
95,J.P. Crawford,28,123,Maj-AL,Seattle,145,638,534,94,142,35,0,19,65,94,1,125,5,3,2,7,2,0,0.266,0.38,0.438,0.818,641487,0.718,0.09999999999999998
180,Gunnar Henderson,22,123,Maj-AL,Baltimore,150,622,560,100,143,29,9,28,82,56,1,159,3,0,3,10,10,3,0.255,0.325,0.489,0.814,683002,0.715,0.09899999999999998
7,Ozzie Albies,26,123,Maj-NL,Atlanta,148,660,596,96,167,30,5,33,109,46,2,107,8,0,8,9,13,1,0.28,0.336,0.513,0.849,645277,0.75,0.09899999999999998
450,Connor Wong,27,123,Maj-AL,Boston,126,403,371,55,87,25,2,9,36,22,0,134,6,3,1,4,8,2,0.235,0.288,0.385,0.673,657136,0.772,0.09899999999999998
356,Kyle Schwarber,30,123,Maj-NL,Philadelphia,160,720,585,108,115,19,1,47,104,126,5,215,6,0,3,4,0,2,0.197,0.343,0.474,0.817,656941,0.72,0.09699999999999998
221,Josh Lowe,25,123,Maj-AL,Tampa Bay,135,501,466,71,136,33,2,20,83,31,2,124,1,0,3,6,32,3,0.292,0.335,0.5,0.835,666139,0.93,0.09500000000000008
154,Paul Goldschmidt,35,124,Maj-NL,St. Louis,154,687,593,89,159,31,0,25,80,87,6,161,3,0,3,12,11,2,0.268,0.363,0.447,0.81,502671,0.905,0.09499999999999997
364,Jos\xc3\xa9 Siri,27,143,Maj-AL,Tampa Bay,101,364,338,58,75,13,2,25,56,20,0,130,2,1,3,5,12,3,0.222,0.267,0.494,0.761,642350,0.855,0.09399999999999997
89,Michael Conforto,30,123,Maj-NL,San Francisco,125,470,406,58,97,14,0,15,58,53,4,106,7,0,4,12,4,0,0.239,0.334,0.384,0.718,624424,0.811,0.09300000000000008
455,Masataka Yoshida,29,123,Maj-AL,Boston,140,580,537,71,155,33,3,15,72,34,0,81,7,0,2,20,8,0,0.289,0.338,0.445,0.783,807799,0.875,0.09199999999999997
15,Brian Anderson,30,127,Maj-NL,Milwaukee,96,361,318,38,72,12,3,9,40,36,0,108,4,0,3,10,1,3,0.226,0.31,0.368,0.678,605119,0.768,0.08999999999999997
177,Austin Hays,27,125,Maj-AL,Baltimore,144,566,520,76,143,36,2,16,67,38,1,141,3,0,5,11,5,1,0.275,0.325,0.444,0.769,669720,0.859,0.08999999999999997
84,Matt Chapman,30,124,Maj-AL,Toronto,140,581,509,66,122,39,2,17,54,62,1,165,8,0,2,4,4,2,0.24,0.331,0.424,0.755,656305,0.844,0.08899999999999997
290,Matt Olson,29,123,Maj-NL,Atlanta,162,720,608,127,172,27,3,54,139,104,8,167,4,0,4,13,1,0,0.283,0.389,0.604,0.993,621566,0.904,0.08899999999999997
45,Bo Bichette,25,123,Maj-AL,Toronto,135,601,571,69,175,30,3,20,73,27,0,115,2,0,1,14,5,3,0.307,0.339,0.475,0.814,666182,0.902,0.08800000000000008
153,Andr\xc3\xa9s Gim\xc3\xa9nez,24,124,Maj-AL,Cleveland,153,616,557,76,140,27,5,15,62,32,3,112,20,4,3,10,30,6,0.251,0.314,0.399,0.712,665926,0.624,0.08799999999999997
367,Josh H. Smith,25,125,Maj-AL,Texas,90,232,195,29,36,8,1,6,15,25,0,55,9,2,1,3,1,0,0.185,0.304,0.328,0.633,669701,0.721,0.08799999999999997
396,Michael A. Taylor,32,124,Maj-AL,Minnesota,129,388,355,48,78,14,1,21,51,26,0,130,3,3,1,7,13,1,0.22,0.278,0.442,0.72,572191,0.633,0.08699999999999997
120,Ezequiel Duran,24,125,Maj-AL,Texas,122,439,406,55,112,22,2,14,46,23,1,120,7,1,2,7,8,4,0.276,0.324,0.443,0.768,677649,0.855,0.08699999999999997
112,Yandy D\xc3\xadaz,31,124,Maj-AL,Tampa Bay,137,600,525,95,173,35,0,22,78,65,0,94,8,0,2,16,0,1,0.33,0.41,0.522,0.932,650490,1.018,0.08599999999999997
197,Aaron Judge,31,124,Maj-AL,New York,106,458,367,79,98,16,0,37,75,88,9,130,0,0,3,5,3,1,0.267,0.406,0.613,1.019,592450,1.104,0.08500000000000019
53,Alex Bregman,29,123,Maj-AL,Houston,161,724,622,103,163,28,4,25,98,92,1,87,8,0,2,22,3,1,0.262,0.363,0.441,0.804,608324,0.719,0.08500000000000008
200,Josh Jung,25,123,Maj-AL,Texas,122,515,478,75,127,25,1,23,70,30,0,151,5,0,2,7,1,3,0.266,0.315,0.467,0.781,673962,0.865,0.08399999999999996
404,Spencer Torkelson,23,123,Maj-AL,Detroit,159,684,606,88,141,34,1,31,94,67,1,171,6,0,5,15,3,0,0.233,0.313,0.446,0.758,679529,0.676,0.08199999999999996
343,Eddie Rosario,31,123,Maj-NL,Atlanta,142,516,478,64,122,24,3,21,74,34,1,122,1,1,2,13,3,4,0.255,0.305,0.45,0.755,592696,0.674,0.08099999999999996
127,Thairo Estrada,27,123,Maj-NL,San Francisco,120,530,495,63,134,26,2,14,49,22,1,120,11,0,2,10,23,7,0.271,0.315,0.416,0.731,642731,0.811,0.08000000000000007
301,David Peralta,35,123,Maj-NL,Los Angeles,133,422,394,47,102,25,1,7,55,20,1,72,2,0,6,8,4,1,0.259,0.294,0.381,0.675,444482,0.595,0.08000000000000007
